fonte,run_id,id,nome,latitude,longitude,precipitacao_24h_mm
APAC,20260819T213416Z,1378,Ipojuca - Núcleo Maranhão - APAC,-8.368200000000000,-35.135220000000000,0.2
APAC,20260819T213416Z,1574,OROBÃ“ - OROBÃ³ [SECRETÃ¡RIA DE AGRICULTURA] - APAC,-7.737730000000000,-35.607240000000000,0.0
APAC,20260819T213416Z,1526,OROCÃ“ - OROCO - APAC,-8.617361000000000,-39.603833000000000,0.0
APAC,20260819T213416Z,1464,Passira - Passira [Compesa],-7.975880000000000,-35.588190000000000,0.2
APAC,20260819T213416Z,1209,Vila Torres Galvão - Paulista,-7.958000000000000,-34.876000000000000,0.0
APAC,20260819T213416Z,1184,Paulista - Paulista [Centro],-16.290150000000000,-63.588650000000000,0.0
APAC,20260819T213416Z,1564,PETROLÃ‚NDIA - PETROLÃ¢NDIA [PREFEITURA] - APAC,-8.980100000000000,-38.218510000000000,0.0
APAC,20260819T213416Z,1227,Jaboatão dos Guararapes - Piedade*,-8.154000000000000,-34.914000000000000,0.0
APAC,20260819T213416Z,1592,SANTA CRUZ - POÃ‡O DANTAS - APAC,-8.389250000000000,-40.210667000000000,1.98
APAC,20260819T213416Z,1437,Limoeiro - Polícia Cívil - APAC,-7.866230000000000,-35.434690000000000,0.0
APAC,20260819T213416Z,1472,Buíque - Polícia Militar - APAC,-8.615000000000000,-37.154720000000000,0.0
APAC,20260819T213416Z,1297,Vila São José - APAC* - Pombos,-8.136890000000000,-35.399630000000000,0.0
APAC,20260819T213416Z,1391,Goiana - Ponta de Pedra - APAC,-7.566480000000000,-34.857940000000000,21.35
APAC,20260819T213416Z,1191,Cabo de Santo Agostinho - Pontes dos Carvalhos*,-8.233000000000000,-34.979000000000000,0.0
APAC,20260819T213416Z,1254,Ipojuca - Porto de Galinhas*,-8.507000000000000,-35.004000000000000,0.0
APAC,20260819T213416Z,1183,Jaboatão dos Guararapes - Prazeres*,-8.188000000000000,-34.953000000000000,0.0
APAC,20260819T213416Z,1377,Araçoiaba - Prefeitura Municipal - APAC,-7.789110000000000,-35.091470000000000,0.0
APAC,20260819T213416Z,1426,Tacaimbó - Prefeitura Municipal - APAC,-8.316390000000000,-36.291670000000000,0.0
APAC,20260819T213416Z,1288,Goiana - Prefeitura Municipal*,-7.586000000000000,-34.998000000000000,0.0
APAC,20260819T213416Z,1292,Altinho - Prefeitura Municipal*,-8.490480000000000,-36.060420000000000,0.0
APAC,20260819T213416Z,1300,Sairé - Prefeitura Municipal*,-8.328870000000000,-35.708380000000000,7.4
APAC,20260819T213416Z,1398,Tamandaré - PSF - APAC,-8.750560000000000,-35.101670000000000,0.2
APAC,20260819T213416Z,1514,Quipapá - QUIPAPA - APAC,-8.824278000000000,-36.006806000000000,0.0
APAC,20260819T213416Z,1257,Vila Nova - Quipapa [Vila Nova],-8.844000000000000,-36.115000000000000,0.0
APAC,20260819T213416Z,1480,Quixaba - Quixaba - APAC,-7.717750000000000,-37.849350000000000,0.0
APAC,20260819T213416Z,1492,Parnamirim - Quixaba - APAC,-8.013030000000000,-39.773310000000000,0.0
APAC,20260819T213416Z,1498,PETROLINA - RAJADA - APAC,-8.814444000000000,-40.830528000000000,0.0
APAC,20260819T213416Z,1180,Alto do Céu - Recife [Alto do Céu],-8.012000000000000,-34.892000000000000,1.58
APAC,20260819T213416Z,1182,Alto do Mandu - Recife [Alto do Mandu],-8.024000000000000,-34.927000000000000,0.0
APAC,20260819T213416Z,1275,Areias - Recife [Areias],-8.102000000000000,-34.929000000000000,0.0
APAC,20260819T213416Z,1285,Boa Vista - Recife [Boa Vista],-8.069000000000000,-34.891000000000000,0.0
APAC,20260819T213416Z,1261,Campina do Barreto - Recife [Campina do Barreto],-8.013000000000000,-34.881000000000000,0.0
APAC,20260819T213416Z,1237,Córrego do Jenipapo - Recife [Córrego do Jenipapo],-8.007000000000000,-34.936000000000000,0.0
APAC,20260819T213416Z,1179,Dois Unidos - Recife [Dois Unidos],-7.996280000000000,-34.909170000000000,0.0
APAC,20260819T213416Z,1259,Guabiraba - Recife [Guabiraba] - APAC*,-7.994000000000000,-34.936000000000000,0.0
APAC,20260819T213416Z,1262,Ibura - Recife [Ibura],-8.122000000000000,-34.955000000000000,0.0
APAC,20260819T213416Z,1260,Morro da Conceição - Recife [Morro da Conceição],-8.019000000000000,-34.915000000000000,0.0
APAC,20260819T213416Z,1264,Pina - Recife [Pina],-8.099000000000000,-34.887000000000000,0.0
APAC,20260819T213416Z,1284,Porto - Recife [Porto],-8.054000000000000,-34.873000000000000,0.0
APAC,20260819T213416Z,1213,San Martin - Recife [San Martin],-8.073000000000000,-34.925000000000000,1.58
APAC,20260819T213416Z,1373,Santo Amaro - APAC - Recife [Santo Amaro] - APAC,-8.044910000000000,-34.875180000000000,0.0
APAC,20260819T213416Z,1265,Torreão - Recife [Torreão],-8.037000000000000,-34.884000000000000,0.0
APAC,20260819T213416Z,1174,UFRPE - Recife [UFRPE],-8.018380000000000,-34.947060000000000,0.2
APAC,20260819T213416Z,1181,UPA da Imbiribeira - Recife [UPA da Imbiribeira],-8.120970000000000,-34.913980000000000,0.0
APAC,20260819T213416Z,1178,UPA Nova Descoberta - Recife [UPA Nova Descoberta] - APAC*,-8.001920000000000,-34.941530000000000,0.0
