identificador,tipo,entidade,ano,coluna,quantidade_valores_unicos,dtype_inferido
chikungunya_2023,fato,chikungunya,2023.0,ID_AGRAVO,1,texto
chikungunya_2023,fato,chikungunya,2023.0,DT_NOTIFIC,316,texto
chikungunya_2023,fato,chikungunya,2023.0,SEM_NOT,52,inteiro
chikungunya_2023,fato,chikungunya,2023.0,NU_ANO,1,inteiro
chikungunya_2023,fato,chikungunya,2023.0,SG_UF_NOT,2,inteiro
chikungunya_2023,fato,chikungunya,2023.0,ID_MUNICIP,12,inteiro
chikungunya_2023,fato,chikungunya,2023.0,ID_REGIONA,5,inteiro
chikungunya_2023,fato,chikungunya,2023.0,ID_UNIDADE,81,inteiro
chikungunya_2023,fato,chikungunya,2023.0,DT_SIN_PRI,390,texto
chikungunya_2023,fato,chikungunya,2023.0,SEM_PRI,71,inteiro
chikungunya_2023,fato,chikungunya,2023.0,DT_NASC,1469,texto
chikungunya_2023,fato,chikungunya,2023.0,NU_IDADE_N,96,inteiro
chikungunya_2023,fato,chikungunya,2023.0,CS_SEXO,3,texto
chikungunya_2023,fato,chikungunya,2023.0,CS_GESTANT,7,inteiro
chikungunya_2023,fato,chikungunya,2023.0,CS_RACA,6,inteiro
chikungunya_2023,fato,chikungunya,2023.0,CS_ESCOL_N,11,inteiro
chikungunya_2023,fato,chikungunya,2023.0,SG_UF,1,inteiro
chikungunya_2023,fato,chikungunya,2023.0,ID_MN_RESI,1,inteiro
chikungunya_2023,fato,chikungunya,2023.0,ID_RG_RESI,1,inteiro
chikungunya_2023,fato,chikungunya,2023.0,ID_DISTRIT,8,inteiro
chikungunya_2023,fato,chikungunya,2023.0,ID_BAIRRO,89,inteiro
chikungunya_2023,fato,chikungunya,2023.0,NM_BAIRRO,89,texto
chikungunya_2023,fato,chikungunya,2023.0,ID_LOGRADO,0,vazio
chikungunya_2023,fato,chikungunya,2023.0,NM_LOGRADO,1296,texto
chikungunya_2023,fato,chikungunya,2023.0,NU_CEP,700,inteiro
chikungunya_2023,fato,chikungunya,2023.0,CS_ZONA,3,inteiro
chikungunya_2023,fato,chikungunya,2023.0,ID_PAIS,1,inteiro
chikungunya_2023,fato,chikungunya,2023.0,DT_INVEST,319,texto
chikungunya_2023,fato,chikungunya,2023.0,ID_OCUPA_N,26,texto
chikungunya_2023,fato,chikungunya,2023.0,FEBRE,2,inteiro
chikungunya_2023,fato,chikungunya,2023.0,MIALGIA,2,inteiro
chikungunya_2023,fato,chikungunya,2023.0,CEFALEIA,2,inteiro
chikungunya_2023,fato,chikungunya,2023.0,EXANTEMA,2,inteiro
chikungunya_2023,fato,chikungunya,2023.0,VOMITO,2,inteiro
chikungunya_2023,fato,chikungunya,2023.0,NAUSEA,2,inteiro
chikungunya_2023,fato,chikungunya,2023.0,DOR_COSTAS,2,inteiro
chikungunya_2023,fato,chikungunya,2023.0,CONJUNTVIT,2,inteiro
chikungunya_2023,fato,chikungunya,2023.0,ARTRITE,2,inteiro
chikungunya_2023,fato,chikungunya,2023.0,ARTRALGIA,2,inteiro
chikungunya_2023,fato,chikungunya,2023.0,PETEQUIA_N,2,inteiro
chikungunya_2023,fato,chikungunya,2023.0,LEUCOPENIA,2,inteiro
chikungunya_2023,fato,chikungunya,2023.0,LACO,2,inteiro
chikungunya_2023,fato,chikungunya,2023.0,DOR_RETRO,2,inteiro
chikungunya_2023,fato,chikungunya,2023.0,DIABETES,2,inteiro
chikungunya_2023,fato,chikungunya,2023.0,HEMATOLOG,2,inteiro
chikungunya_2023,fato,chikungunya,2023.0,HEPATOPAT,2,inteiro
chikungunya_2023,fato,chikungunya,2023.0,RENAL,2,inteiro
chikungunya_2023,fato,chikungunya,2023.0,HIPERTENSA,2,inteiro
chikungunya_2023,fato,chikungunya,2023.0,ACIDO_PEPT,2,inteiro
chikungunya_2023,fato,chikungunya,2023.0,AUTO_IMUNE,2,inteiro
chikungunya_2023,fato,chikungunya,2023.0,DT_CHIK_S1,134,texto
chikungunya_2023,fato,chikungunya,2023.0,DT_CHIK_S2,3,texto
chikungunya_2023,fato,chikungunya,2023.0,DT_PRNT,2,texto
chikungunya_2023,fato,chikungunya,2023.0,RES_CHIKS1,4,inteiro
chikungunya_2023,fato,chikungunya,2023.0,RES_CHIKS2,3,inteiro
chikungunya_2023,fato,chikungunya,2023.0,RESUL_PRNT,2,inteiro
chikungunya_2023,fato,chikungunya,2023.0,DT_SORO,1,texto
chikungunya_2023,fato,chikungunya,2023.0,RESUL_SORO,2,inteiro
chikungunya_2023,fato,chikungunya,2023.0,DT_NS1,0,vazio
chikungunya_2023,fato,chikungunya,2023.0,RESUL_NS1,1,inteiro
chikungunya_2023,fato,chikungunya,2023.0,DT_VIRAL,1,texto
chikungunya_2023,fato,chikungunya,2023.0,RESUL_VI_N,3,inteiro
chikungunya_2023,fato,chikungunya,2023.0,DT_PCR,31,texto
chikungunya_2023,fato,chikungunya,2023.0,RESUL_PCR_,4,inteiro
chikungunya_2023,fato,chikungunya,2023.0,SOROTIPO,0,vazio
chikungunya_2023,fato,chikungunya,2023.0,HISTOPA_N,1,inteiro
chikungunya_2023,fato,chikungunya,2023.0,IMUNOH_N,1,inteiro
chikungunya_2023,fato,chikungunya,2023.0,HOSPITALIZ,3,inteiro
chikungunya_2023,fato,chikungunya,2023.0,DT_INTERNA,61,texto
chikungunya_2023,fato,chikungunya,2023.0,UF,1,inteiro
chikungunya_2023,fato,chikungunya,2023.0,MUNICIPIO,3,inteiro
chikungunya_2023,fato,chikungunya,2023.0,TPAUTOCTO,3,inteiro
chikungunya_2023,fato,chikungunya,2023.0,COUFINF,1,inteiro
chikungunya_2023,fato,chikungunya,2023.0,COPAISINF,1,inteiro
chikungunya_2023,fato,chikungunya,2023.0,COMUNINF,1,inteiro
chikungunya_2023,fato,chikungunya,2023.0,CODISINF,6,inteiro
chikungunya_2023,fato,chikungunya,2023.0,CO_BAINF,21,inteiro
chikungunya_2023,fato,chikungunya,2023.0,NOBAIINF,22,texto
chikungunya_2023,fato,chikungunya,2023.0,CLASSI_FIN,2,inteiro
chikungunya_2023,fato,chikungunya,2023.0,CRITERIO,2,inteiro
chikungunya_2023,fato,chikungunya,2023.0,DOENCA_TRA,0,vazio
chikungunya_2023,fato,chikungunya,2023.0,CLINC_CHIK,2,inteiro
chikungunya_2023,fato,chikungunya,2023.0,EVOLUCAO,4,inteiro
chikungunya_2023,fato,chikungunya,2023.0,DT_OBITO,11,texto
chikungunya_2023,fato,chikungunya,2023.0,DT_ENCERRA,326,texto
