codigo_bairro,inicio_indice,inicio_ano,melhor_posicao_antes_do_inicio,semanas_antecedencia_melhor_posicao,posicao_na_semana_de_inicio
221,674,2025,78.0,2,90.0
221,676,2025,26.0,1,41.0
230,583,2024,61.0,1,52.0
230,594,2024,36.0,4,89.0
230,665,2025,64.0,1,67.0
230,667,2025,41.0,1,43.0
230,673,2025,55.0,4,92.0
230,676,2025,12.0,1,42.0
248,580,2024,12.0,3,71.0
248,584,2024,4.0,3,37.0
248,588,2024,6.0,1,18.0
248,628,2025,58.0,4,54.0
248,642,2025,24.0,2,26.0
248,648,2025,1.0,4,12.0
248,653,2025,1.0,4,4.0
248,659,2025,2.0,3,19.0
248,664,2025,15.0,3,56.0
248,667,2025,19.0,2,32.0
248,674,2025,55.0,1,52.0
256,571,2023,40.0,1,27.0
256,579,2024,4.0,1,12.0
256,581,2024,2.0,1,20.0
256,599,2024,25.0,1,73.0
256,617,2024,37.0,3,79.0
256,619,2024,18.0,1,52.0
256,627,2025,40.0,2,41.0
256,639,2025,12.0,4,77.0
256,644,2025,4.0,4,53.0
256,652,2025,12.0,1,20.0
256,656,2025,3.0,2,18.0
256,660,2025,8.0,2,23.0
256,666,2025,8.0,3,21.0
256,673,2025,8.0,4,68.0
264,582,2024,57.0,2,45.0
264,584,2024,24.0,1,57.0
264,599,2024,42.0,1,34.0
264,605,2024,17.0,4,78.0
264,654,2025,75.0,1,90.0
264,661,2025,33.0,3,67.0
264,663,2025,30.0,1,38.0
264,671,2025,17.0,3,73.0
264,673,2025,22.0,4,10.0
27,531,2023,10.0,2,6.0
27,534,2023,1.0,2,16.0
27,549,2023,15.0,3,32.0
27,553,2023,7.0,3,22.0
27,556,2023,9.0,2,16.0
27,561,2023,3.0,4,20.0
27,579,2024,20.0,1,16.0
27,581,2024,4.0,1,10.0
27,584,2024,1.0,2,19.0
27,594,2024,1.0,4,24.0
27,598,2024,12.0,2,30.0
27,601,2024,16.0,4,30.0
27,608,2024,17.0,2,28.0
27,617,2024,38.0,4,44.0
27,628,2025,36.0,4,51.0
27,630,2025,9.0,1,18.0
27,632,2025,7.0,1,37.0
27,650,2025,45.0,1,29.0
27,654,2025,24.0,3,55.0
27,658,2025,29.0,2,55.0
27,664,2025,21.0,4,60.0
27,670,2025,42.0,3,60.0
272,526,2023,7.0,2,6.0
272,548,2023,13.0,2,21.0
272,565,2023,47.0,1,35.0
272,578,2024,13.0,1,10.0
272,583,2024,2.0,4,51.0
272,588,2024,26.0,4,66.0
272,654,2025,55.0,4,71.0
272,663,2025,80.0,4,91.0
272,665,2025,66.0,1,80.0
280,581,2024,58.0,4,39.0
280,654,2025,38.0,2,36.0
280,669,2025,38.0,3,37.0
280,671,2025,26.0,1,46.0
280,673,2025,7.0,1,43.0
299,524,2023,19.0,1,12.0
299,537,2023,5.0,4,45.0
299,547,2023,3.0,2,40.0
299,572,2023,35.0,4,57.0
299,581,2024,8.0,4,58.0
299,655,2025,52.0,2,59.0
299,657,2025,37.0,1,41.0
299,663,2025,3.0,3,15.0
299,669,2025,30.0,4,38.0
302,557,2023,32.0,1,57.0
302,559,2023,11.0,1,19.0
302,579,2024,18.0,2,15.0
302,594,2024,63.0,3,25.0
302,616,2024,57.0,1,71.0
302,623,2024,25.0,1,27.0
302,633,2025,30.0,3,28.0
302,660,2025,78.0,4,79.0
302,662,2025,46.0,1,61.0
302,674,2025,40.0,1,44.0
310,572,2023,52.0,2,59.0
310,581,2024,17.0,3,80.0
310,624,2024,23.0,2,72.0
310,630,2025,9.0,2,6.0
310,653,2025,69.0,4,56.0
310,663,2025,2.0,4,13.0
310,666,2025,6.0,2,11.0
310,672,2025,2.0,3,39.0
310,674,2025,7.0,4,13.0
329,603,2024,60.0,1,49.0
329,620,2024,73.0,4,71.0
329,622,2024,34.0,1,24.0
329,624,2024,5.0,1,14.0
329,658,2025,55.0,1,36.0
329,667,2025,1.0,4,18.0
329,669,2025,14.0,4,29.0
329,672,2025,23.0,2,66.0
329,675,2025,30.0,4,28.0
337,614,2024,19.0,3,39.0
337,656,2025,42.0,1,56.0
337,666,2025,1.0,4,16.0
337,673,2025,1.0,2,22.0
337,676,2025,8.0,4,18.0
345,565,2023,12.0,2,47.0
345,575,2024,18.0,4,61.0
345,599,2024,21.0,1,37.0
345,613,2024,58.0,4,78.0
345,615,2024,34.0,1,15.0
345,658,2025,23.0,3,49.0
345,669,2025,2.0,1,11.0
345,678,2025,29.0,3,84.0
35,567,2023,55.0,1,28.0
35,581,2024,25.0,4,31.0
35,588,2024,22.0,2,29.0
35,621,2024,25.0,1,17.0
35,625,2024,17.0,4,65.0
35,649,2025,16.0,1,10.0
35,656,2025,18.0,2,66.0
35,668,2025,68.0,4,73.0
35,674,2025,25.0,4,36.0
353,569,2023,17.0,2,31.0
353,625,2024,40.0,3,71.0
